,Aeródromo,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Geoespacial,Unnamed: 6,Unnamed: 7,Operação,Pista 1,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Pista 2,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Pista 3,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Heliponto,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Atos normativos,Unnamed: 34,Unnamed: 35,Unnamed: 36,Classe RBAC 107,Classe RBAC 153,Categoria Tarifária,Especificação Operativa,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Medidas Administrativas,Unnamed: 48,Unnamed: 49,Outros,Unnamed: 51
0,CÓDIGO OACI,TIPO,NOME,MUNICÍPIO ATENDIDO,UF,LATITUDE,LONGITUDE,ALTITUDE,OPERAÇÃO,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE,RAMPA(S) DE APROXIMAÇÃO,FORMATO DA ÁREA DE POUSO,DIMENSÕES,RESISTÊNCIA,SUPERFÍCIE,p1,p2,p3,p4,PORTARIAS,,,,PORTARIA Nº 515/2018 ,"PORTARIA Nº 852/2018
A Classe I se divide ainda em I-A, sem voo regular e I-B, com voo regular","PORTARIA Nº 2007/2014 E ALTERAÇÕES
(* = REGIME TARIFÁRIO DIFERENCIADO)",AERONAVE CRÍTICA,TIPO DE APROX. (CABECEIRAS),FREQ. SEMANAL,r1,r2,REFERÊNCIA(S),,SITUAÇÃO,r1,REFERÊNCIA,SITUADO NA AMAZÔNIA LEGAL,OBSERVAÇÕES
1,SBAA,AERÓDROMO,CONCEIÇÃO DO ARAGUAIA,CONCEIÇÃO DO ARAGUAIA,PA,8° 20' 55'' S,49° 18' 11'' W,199 m,VFR Diurno/Noturno e IFR Diurno,8/26,1800 m,30 m,PCN 47/F/C/X/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1981-0172,PD1993-0516,0,0,PD1981-0172,PD1993-0516,,,AP-0,Classe I,4ª,-,-,-,,,,,,,,X,-
2,SBAE,AERÓDROMO,BAURU/AREALVA,BAURU E AREALVA,SP,22° 9' 28'' S,49° 4' 6'' W,594 m,VFR Diurno/Noturno e IFR Diurno/Noturno,17/35,2010 m,45 m,PCN 42/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2013-0888,0,0,0,PA2013-0888,,,,AP-1,Classe I,3ª,4C,NPA,5,PA2016-0908,,PA2016-0908,,,,,,-
3,SBAQ,AERÓDROMO,BARTOLOMEU DE GUSMÃO,ARARAQUARA,SP,21° 48' 16'' S,48° 8' 25'' W,711 m,VFR Diurno/Noturno e IFR Diurno/Noturno,17/35,1800 m,30 m,PCN 40/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2017-2889,0,0,0,PA2017-2889,,,,AP-0,Classe I,3ª,3C,NPA,11,PA2016-0908,,PA2016-0908,,,,,,-
4,SBAR,AERÓDROMO,SANTA MARIA,ARACAJU,SE,10° 59' 7'' S,37° 4' 24'' W,7 m,VFR Diurno/Noturno e IFR Diurno/Noturno,11/29,2200 m,45 m,PCN 48/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1993-0575,0,0,0,PD1993-0575,,,,AP-2,Classe III,2ª,4C,NPA(11;29),,PA2017-0013,,PA2017-0013,,,,,,-
5,SBAT,AERÓDROMO,PILOTO OSVALDO MARQUES DIAS,ALTA FLORESTA,MT,9° 51' 59'' S,56° 6' 18'' W,289 m,VFR Diurno/Noturno e IFR Diurno/Noturno,4/22,2500 m,30 m,PCN 29/F/C/X/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2011-0162,0,0,0,PA2011-0162,,,,AP-1,Classe I,3ª,4C,NPA,15,PA2016-0908,PA2018-0389,PA2016-0908,PA2018-0389,Restrições específicas (ver portaria),PA2018-0390,PA2018-0390,X,-
6,SBAU,AERÓDROMO,ESTADUAL DARIO GUARITA,ARAÇATUBA,SP,21° 8' 39'' S,50° 25' 35'' W,415 m,VFR Diurno/Noturno e IFR Diurno/Noturno,5/23,2120 m,35 m,PCN 26/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1983-0188,PD1993-0603,0,0,PD1983-0188,PD1993-0603,,,AP-1,Classe I,3ª,3C,NPA,32,PA2016-0908,,PA2016-0908,,,,,,-
7,SBAX,AERÓDROMO,ROMEU ZEMA,ARAXÁ,MG,19° 33' 38'' S,46° 57' 56'' W,999 m,VFR Diurno/Noturno e IFR Diurno/Noturno,15/33,1900 m,30 m,PCN 26/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2005-1273,0,0,0,PD2005-1273,,,,AP-1,Classe I,3ª,3C,NPA,12,PA2016-0908,,PA2016-0908,,,,,,-
8,SBBE,AERÓDROMO,INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO,BELÉM,PA,1° 23' 5'' S,48° 28' 44'' W,17 m,VFR Diurno/Noturno e IFR Diurno/Noturno,6/24,2800 m,45 m,PCN 65/F/A/X/T,Asfalto,2/20,1830 m,45 m,PCN 50/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,PA2016-1883,0,0,0,PA2016-1883,,,,AP-2,Classe III,1ª,4E,PA1(06) / NPA(24;02;20),,PA2017-3043,,PA2017-3043,,,,,X,-
9,SBBG,AERÓDROMO,COMANDANTE GUSTAVO KRAEMER,BAGÉ,RS,31° 23' 27'' S,54° 6' 35'' W,186 m,VFR Diurno/Noturno e IFR Diurno/Noturno,6/24,1500 m,30 m,PCN 18/R/A/Y/T,Concreto,14/32,1149 m,45 m,"5700 kg / 0,62 MPa",Grama,-,-,-,-,-,-,-,-,-,-,PA2018-2459,0,0,0,PA2018-2459,,,,AP-0,Classe I,3ª,-,-,-,,,,,,,,,-
10,SBBH,AERÓDROMO,PAMPULHA - CARLOS DRUMMOND DE ANDRADE,BELO HORIZONTE,MG,19° 51' 7'' S,43° 57' 2'' W,789 m,VFR Diurno/Noturno e IFR Diurno/Noturno,13/31,2364 m,45 m,PCN 44/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2017-1295,0,0,0,PA2017-1295,,,,AP-1,Classe II,2ª,4C,NPA(13)/NINST(31),,PA2018-2829,,PA2018-2829,,,,,,-
11,SBBI,AERÓDROMO,BACACHERI,CURITIBA,PR,25° 24' 12'' S,49° 14' 1'' W,932 m,VFR Diurno/Noturno e IFR Diurno/Noturno,18/36,1390 m,31 m,PCN 21/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2016-0533,0,0,0,PA2016-0533,,,,AP-0,Classe I,3ª,-,-,-,,,,,,,,,-
12,SBBP,AERÓDROMO,ESTADUAL ARTHUR SIQUEIRA,BRAGANÇA PAULISTA,SP,22° 58' 45'' S,46° 31' 15'' W,880 m,VFR Diurno/Noturno,16/34,1200 m,30 m,PCN 16/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2014-0512,0,0,0,PA2014-0512,,,,AP-0,Classe I,4ª,-,-,-,,,,,,,,,-
13,SBBR,AERÓDROMO,PRESIDENTE JUSCELINO KUBITSCHEK,BRASÍLIA,DF,15° 52' 16'' S,47° 55' 7'' W,1066 m,VFR Diurno/Noturno e IFR Diurno/Noturno,11L/29R,3200 m,45 m,PCN 76/F/B/X/T,Asfalto,11R/29L,3300 m,45 m,PCN 68/F/B/W/T,Asfalto,-,-,-,-,-,-,-,-,-,-,PA2012-2422,0,0,0,PA2012-2422,,,,AP-3,Classe IV,1ª (*),4E,PA1,,PA2015-2416,PA2016-0553,PA2015-2416,PA2016-0553,,,,,-
14,SBBU,AERÓDROMO,BAURU,BAURU,SP,22° 20' 37'' S,49° 3' 14'' W,617 m,VFR Diurno/Noturno e IFR Diurno/Noturno,14/32,1501 m,35 m,PCN 13/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2017-3676,0,0,0,PA2017-3676,,,,AP-0,Classe I,3ª,-,-,-,,,,,,,,,-
15,SBBV,AERÓDROMO,ATLAS BRASIL CANTANHEDE,BOA VISTA,RR,2° 50' 29'' N,60° 41' 32'' W,84 m,VFR Diurno/Noturno e IFR Diurno/Noturno,7/25,2700 m,45 m,PCN 38/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2018-0273,0,0,0,PA2018-0273,,,,AP-1,Classe II,1ª,4C,PA1,30,PA2016-0908,PA2016-2636,PA2016-0908,PA2016-2636,,,,X,-
16,SBBW,AERÓDROMO,BARRA DO GARÇAS,BARRA DO GARÇAS,MT,15° 51' 39'' S,52° 23' 22'' W,350 m,VFR Diurno/Noturno e IFR Diurno/Noturno,7/25,1598 m,30 m,PCN 20/F/C/Y/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2016-3033,0,0,0,PA2016-3033,,,,AP-1,Classe I,-,2C,NPA(07;25),,PA2016-3032,PA2017-3675,PA2016-3032,PA2017-3675,,,,X,-
17,SBCA,AERÓDROMO,CORONEL ADALBERTO MENDES DA SILVA,CASCAVEL,PR,25° 0' 8'' S,53° 30' 7'' W,754 m,VFR Diurno/Noturno e IFR Diurno/Noturno,15/33,1615 m,30 m,PCN 25/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2015-3092,0,0,0,PA2015-3092,,,,AP-1,Classe II,3ª,3C,NPA,94,PA2016-0908,,PA2016-0908,,,,,,-
18,SBCB,AERÓDROMO,CABO FRIO,CABO FRIO,RJ,22° 55' 15'' S,42° 4' 17'' W,"6,6 m",VFR Diurno/Noturno e IFR Diurno/Noturno,10/28,2550 m,45 m,PCN 76/F/C/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2014-2498,0,0,0,PA2014-2498,,,,AP-1,Classe II,2ª,4E,NPA,18,PA2016-0908,,PA2016-0908,,,,,,-
19,SBCD,AERÓDROMO,CARLOS ALBERTO DA COSTA NEVES,CAÇADOR,SC,26° 47' 23'' S,50° 56' 23'' W,1029 m,VFR Diurno/Noturno e IFR Diurno/Noturno,2/20,1625 m,30 m,PCN 25/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2005-0406,0,0,0,PD2005-0406,,,,AD,Classe I,-,-,-,-,,,,,,,,,-
20,SBCF,AERÓDROMO,TANCREDO NEVES,CONFINS,MG,19° 37' 28'' S,43° 58' 19'' W,827 m,VFR Diurno/Noturno e IFR Diurno/Noturno,16/34,3000 m,45 m,PCN 83/F/B/W/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2018-2457,0,0,0,PA2018-2457,,,,AP-3,Classe IV,1ª (*),4E,PA1(16) / NPA(34),,PA2015-2165,,PA2015-2165,,,,,,-
21,SBCG,AERÓDROMO,CAMPO GRANDE,CAMPO GRANDE,MS,20° 28' 10'' S,54° 40' 13'' W,559 m,VFR Diurno/Noturno e IFR Diurno/Noturno,6/24,2600 m,45 m,PCN 48/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2016-1884,0,0,0,PA2016-1884,,,,AP-2,Classe III,2ª,4C,PA1(06) / NPA(24),,PA2016-1802,,PA2016-1802,,,,,,-
22,SBCH,AERÓDROMO,SERAFIN ENOSS BERTASO,CHAPECÓ,SC,27° 8' 2'' S,52° 39' 43'' W,654 m,VFR Diurno/Noturno e IFR Diurno/Noturno,11/29,2063 m,45 m,PCN 45/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1997-0587,PA2012-1357,0,0,PD1997-0587,PA2012-1357,,,AP-1,Classe II,2ª,4C,NPA,20,PA2016-0908,,PA2016-0908,,,,,,-
23,SBCI,AERÓDROMO,BRIGADEIRO LYSIAS AUGUSTO RODRIGUES,CAROLINA,MA,7° 19' 14'' S,47° 27' 31'' W,172 m,VFR Diurno/Noturno e IFR Diurno/Noturno,11/29,1800 m,45 m,PCN 18/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2006-0233,0,0,0,PA2006-0233,,,,AP-0,Classe I,4ª,-,-,-,,,,,,,,X,-
24,SBCJ,AERÓDROMO,CARAJÁS,PARAUAPEBAS,PA,6° 6' 55'' S,50° 0' 5'' W,629 m,VFR Diurno/Noturno e IFR Diurno/Noturno,10/28,2000 m,45 m,PCN 41/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2013-3204,0,0,0,PA2013-3204,,,,AP-1,Classe I,2ª,4C,PA1,35,PA2016-0908,PA2018-0389,PA2016-0908,PA2018-0389,Restrições específicas (ver portaria),PA2018-0390,PA2018-0390,X,-
25,SBCM,AERÓDROMO,FORQUILHINHA/CRICIÚMA,FORQUILHINHA,SC,28° 43' 28'' S,49° 25' 17'' W,28 m,VFR Diurno/Noturno e IFR Diurno/Noturno,9/27,1491 m,30 m,PCN 22/F/C/X/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1985-0127,PD1985-0260,PD1990-0252,PD1996-0237,PD1985-0127,PD1985-0260,PD1990-0252,PD1996-0237,AP-0,Classe I,2ª,3C,NPA,19,PA2016-0908,,PA2016-0908,,,,,,-
26,SBCN,AERÓDROMO,NELSON RODRIGUES GUIMARÃES,CALDAS NOVAS,GO,17° 43' 29'' S,48° 36' 36'' W,685 m,VFR Diurno/Noturno e IFR Diurno/Noturno,9/27,2100 m,30 m,PCN 35/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2007-1408,0,0,0,PA2007-1408,,,,AP-1,Classe I,2ª,4C,NPA,14,PA2016-0908,,PA2016-0908,,,,,,-
27,SBCP,AERÓDROMO,BARTOLOMEU LISANDRO,CAMPOS DOS GOYTACAZES,RJ,21° 42' 4'' S,41° 18' 28'' W,17 m,VFR Diurno/Noturno e IFR Diurno/Noturno,7/25,1544 m,45 m,PCN 29/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2018-2768,0,0,0,PA2018-2768,,,,AP-1,Classe I,2ª,3C,NPA,28,PA2016-0908,,PA2016-0908,,,,,,-
28,SBCR,AERÓDROMO,CORUMBÁ,CORUMBÁ,MS,19° 0' 43'' S,57° 40' 17'' W,141 m,VFR Diurno/Noturno e IFR Diurno/Noturno,9/27,1500 m,45 m,PCN 71/F/C/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2016-0668,0,0,0,PA2016-0668,,,,AP-1,Classe I,2ª,4C,NPA,6,PA2016-0908,PA2018-0389,PA2016-0908,PA2018-0389,Restrições específicas (ver portaria),PA2018-0390,PA2018-0390,,-
29,SBCT,AERÓDROMO,AFONSO PENA,CURITIBA,PR,25° 31' 54'' S,49° 10' 34'' W,911 m,VFR Diurno/Noturno e IFR Diurno/Noturno,15/33,2218 m,45 m,PCN 42/F/A/X/T,Asfalto,11/29,1798 m,45 m,PCN 33/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,PA2013-3007,0,0,0,PA2013-3007,,,,AP-3,Classe IV,1ª,4E,PA2(15) / PA1(33)/ NPA(11;29),,PA2016-1576,PA2017-1472,PA2016-1576,PA2017-1472,,,,,-
30,SBCV,AERÓDROMO,CARAVELAS,CARAVELAS,BA,17° 39' 2'' S,39° 15' 16'' W,11 m,VFR Diurno,6/24,1530 m,45 m,PCN 32/F/C/X/U,Asfalto,18/36,1150 m,45 m,PCN 32/F/C/X/U,Asfalto,-,-,-,-,-,-,-,-,-,-,PA2016-0035,0,0,0,PA2016-0035,,,,AD,Classe I,-,-,-,-,,,,,,,,,-
31,SBCX,AERÓDROMO,HUGO CANTERGIANI,CAXIAS DO SUL,RS,29° 11' 44'' S,51° 11' 23'' W,754 m,VFR Diurno/Noturno e IFR Diurno/Noturno,15/33,1670 m,30 m,PCN 45/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2017-3509,0,0,0,PA2017-3509,,,,AP-1,Classe I,3ª,4C,NPA,31,PA2016-0908,PA2018-0389,PA2016-0908,PA2018-0389,Restrições específicas (ver portaria),PA2018-0390,PA2018-0390,,-
32,SBCY,AERÓDROMO,MARECHAL RONDON,VÁRZEA GRANDE,MT,15° 39' 0'' S,56° 7' 3'' W,188 m,VFR Diurno/Noturno e IFR Diurno/Noturno,17/35,2300 m,45 m,PCN 46/F/B/X/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2018-2575,0,0,0,PA2018-2575,,,,AP-2,Classe III,1ª,-,-,-,,,,,Proibição aumento freq.,PA2016-1044,PA2016-1044,X,-
33,SSCL,AERÓDROMO,CASSILÂNDIA,CASSILÂNDIA,MS,19° 8' 49'' S,51° 40' 35'' W,481 m,VFR Diurno,13/31,1081 m,18 m,PCN 10/F/B/Y/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2017-1340,0,0,0,PA2017-1340,,,,AD,Classe I,-,-,-,-,,,,,,,,,-
34,SBDB,AERÓDROMO,BONITO,BONITO,MS,21° 14' 50'' S,56° 27' 9'' W,334 m,VFR Diurno/Noturno,18/36,2000 m,30 m,PCN 48/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2015-1122,0,0,0,PA2015-1122,,,,AP-1,Classe I,3ª,4C,NINST,5,PA2016-0908,PA2018-0389,PA2016-0908,PA2018-0389,Restrições específicas (ver portaria),PA2018-0390,PA2018-0390,,-
35,SBDN,AERÓDROMO,PRESIDENTE PRUDENTE,PRESIDENTE PRUDENTE,SP,22° 10' 42'' S,51° 25' 8'' W,452 m,VFR Diurno/Noturno e IFR Diurno/Noturno,12/30,2100 m,35 m,PCN 38/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2016-1108,0,0,0,PA2016-1108,,,,AP-1,Classe II,3ª,4C,NPA,19,PA2016-0908,,PA2016-0908,,,,,,-
36,SBDO,AERÓDROMO,DOURADOS,DOURADOS,MS,22° 12' 2'' S,54° 55' 32'' W,458 m,VFR Diurno/Noturno e IFR Diurno/Noturno,6/24,1950 m,30 m,PCN 28/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2013-3397,0,0,0,PA2013-3397,,,,AP-1,Classe I,2ª,3C,NPA,42,PA2016-0908,,PA2016-0908,,,,,,-
37,SBEG,AERÓDROMO,EDUARDO GOMES,MANAUS,AM,3° 2' 28'' S,60° 3' 2'' W,80 m,VFR Diurno/Noturno e IFR Diurno/Noturno,11/29,2700 m,45 m,PCN 71/F/C/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2012-1425,0,0,0,PA2012-1425,,,,AP-2,Classe III,1ª,4E,PA1(10) / NPA(28),,PA2015-0125,,PA2015-0125,,,,,X,-
38,SBEK,AERÓDROMO,JACAREACANGA,JACAREACANGA,PA,6° 14' 7'' S,57° 46' 33'' W,99 m,VFR Diurno e IFR Diurno,8/26,1600 m,30 m,PCN 36/F/B/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1984-0200,0,0,0,PD1984-0200,,,,AD,Classe I,-,-,-,-,,,,,,,,X,-
39,SBFI,AERÓDROMO,CATARATAS,FOZ DO IGUAÇU,PR,25° 36' 1'' S,54° 29' 6'' W,240 m,VFR Diurno/Noturno e IFR Diurno/Noturno,14/32,2195 m,45 m,PCN 51/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2014-1182,0,0,0,PA2014-1182,,,,AP-2,Classe III,2ª,-,-,-,,,,,Proibição aumento freq.,PA2016-3720,PA2016-3720,,-
40,SBFL,AERÓDROMO,HERCÍLIO LUZ,FLORIANÓPOLIS,SC,27° 40' 13'' S,48° 33' 9'' W,5 m,VFR Diurno/Noturno e IFR Diurno/Noturno,14/32,2295 m,45 m,PCN 48/F/B/X/T,Asfalto,3/21,1500 m,45 m,PCN 26/R/B/X/T,Concreto,-,-,-,-,-,-,-,-,-,-,PA2017-3540,0,0,0,PA2017-3540,,,,AP-2,Classe III,1ª,4C, PA1(14)/ NPA(32;03;21),,PA2017-4298,,PA2017-4298,,,,,,-
41,SBFN,AERÓDROMO,FERNANDO DE NORONHA,FERNANDO DE NORONHA,PE,3° 51' 17'' S,32° 25' 42'' W,58 m,VFR Diurno/Noturno e IFR Diurno/Noturno,12/30,1845 m,45 m,PCN 30/F/C/X/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2018-2251,0,0,0,PA2018-2251,,,,AP-1,Classe II,2ª,4C,NPA,37,PA2016-0908,PA2018-0389,PA2016-0908,PA2018-0389,Restrições específicas (ver portaria),PA2018-0390,PA2018-0390,,-
42,SBFZ,AERÓDROMO,PINTO MARTINS,FORTALEZA,CE,3° 46' 33'' S,38° 31' 56'' W,25 m,VFR Diurno/Noturno e IFR Diurno/Noturno,13/31,2545 m,45 m,PCN 66/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2001-1572,0,0,0,PD2001-1572,,,,AP-3,Classe IV,1ª,4E,PA1(13) / NPA(31),,PA2017-4289,,PA2017-4289,,,,,,-
43,SBGL,AERÓDROMO,AEROPORTO INTERNACIONAL DO RIO DE JANEIRO/GALEÃO – ANTONIO CARLOS JOBIM,RIO DE JANEIRO,RJ,22° 48' 36'' S,43° 15' 2'' W,9 m,VFR Diurno/Noturno e IFR Diurno/Noturno,10/28,4000 m,45 m,PCN 78/R/A/W/T,Concreto,15/33,3180 m,47 m,PCN 73/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,PA2012-1398,0,0,0,PA2012-1398,,,,AP-3,Classe IV,1ª (*),4E,PA2(10) / PA1(28;15) / NPA(33),,PA2015-2166,,PA2015-2166,,,,,,-
44,SBGM,AERÓDROMO,GUAJARÁ-MIRIM,GUAJARÁ-MIRIM,RO,10° 47' 18'' S,65° 16' 54'' W,146 m,VFR Diurno/Noturno e IFR Diurno/Noturno,17/35,1795 m,45 m,PCN 30/F/C/X/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1980-0123,0,0,0,PD1980-0123,,,,AD,Classe I,-,-,-,-,,,,,,,,X,-
45,SBGO,AERÓDROMO,SANTA GENOVEVA/GOIÂNIA,GOIÂNIA,GO,16° 37' 57'' S,49° 13' 16'' W,747 m,VFR Diurno/Noturno e IFR Diurno/Noturno,14/32,2500 m,45 m,PCN 34/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2017-3371,0,0,0,PA2017-3371,,,,AP-2,Classe III,1ª,4C,NPA(14;32),,PA2016-1671,,PA2016-1671,,,,,,-
